artist_id,genres
0SwVn4s8PdhY9XQhi9SetC,"['alberta country', 'canadian country', 'country dawn']"
0T5OJgMVjKIX3b3W3ekqOl,"['atl hip hop', 'dirty south rap', 'old school atlanta hip hop', 'trap']"
0T8Ix53aIN4F7aEKj4EnKy,['corrido']
0TImkz4nPqjegtVSMZnMRq,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']"
0TPlgv7eySSCChc2vKRIml,[]
0TdVfGLdRvipwvY9vyBvFr,['bounce']
0TeVa4xdLB8vdzjsvKH6Ri,"['latin pop', 'latin viral pop']"
0ThrQemMA2B8xxusTUl8IM,"['contemporary r&b', 'hip pop', 'r&b']"
0Ti91YxiacZTgVeD0hvXAq,[]
0TnOYISbd1XYRBk9myaseg,"['dance pop', 'miami hip hop', 'pop']"
0Tob4H0FLtEONHU1MjpUEp,"['dance pop', 'grime', 'pop rap']"
0Ty63ceoRnnJKVEYP0VQpk,"['permanent wave', 'soft rock', 'sophisti-pop']"
0UWZUmn7sybxMCqrw9tGa7,"['colombian pop', 'latin pop', 'mexican pop', 'rock en espanol']"
0UcXjTpzt0DmIwPSNwlJfF,[]
0UeVxCKyBypjQvDCT889zt,['hip pop']
0Ug6OsFk2B0mLvXrpmpRs6,['chicano rap']
0Uo6kyjrbQoZBlcXsMb8Vm,"['atl hip hop', 'dirty south rap', 'old school atlanta hip hop']"
0V8tQXWkKPD5SxsB2moGew,"['antiviral pop', 'meme', 'pixel']"
0VKTLKamj4IH8OfQbUL0kq,"['atl hip hop', 'crunk', 'dirty south rap', 'southern hip hop']"
0VRj0yCOv2FXJNP47XQnx5,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
0VkWDV0Bfd0EkXvaKAXUTl,['modern country pop']
0VqoeHbKgK8rjTpVjtip3B,[]
0WK3H9OErSn5zKOkOV5egm,"['pop rap', 'trap']"
0WOxhx4hikIsyF3CRPLC8W,"['chicago rap', 'drill', 'rap', 'trap']"
0WjcdSKSTiNtfM4uQDIPDm,['musical advocacy']
0WjnlObkDedRrSBTC9N3lW,['hip pop']
0WsQby2bU6kzZcvikYRdms,['contemporary r&b']
0WuYfDB2hAYzybfAd75fvb,[]
0X2BH1fck6amBIoJhDVmmJ,"['indietronica', 'metropopolis', 'pop', 'uk pop']"
0X380XXQSNBYuleKzav5UO,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'grunge', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']"
0XHiH53dHrvbwfjYM7en7I,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'post-grunge', 'rock']"
0XIKGBo9PnK1ApI5tZA60d,"['r&b', 'rap latina']"
0XKOBt59crntr7HQXXO8Yz,"['contemporary country', 'country', 'country road']"
0XNa1vTidXlvJ2gHSsRi4A,"['alternative rock', 'dance rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']"
0XeEobZplHxzM9QzFQWLiR,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
0XwVARXT135rw8lyw1EeWP,"['mariachi', 'musica mexicana', 'ranchera']"
0Y30TbA4p8SAfCzy2AFBa8,"['latin hip hop', 'reggaeton']"
0Y3agQaa6g2r0YmHPOO9rh,"['afrobeats', 'afropop', 'azontobeats', 'ghanaian hip hop', 'nigerian pop']"
0Y5tJX1MQlPlqiwlOH1tJY,"['rap', 'slap house']"
0Y6dVaC9DZtPNH4591M42W,['pov: indie']
0YQiSNSBP7gpvzalY9CDrM,[]
0YWxKQj2Go9CGHCp77UOyy,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']"
0Ybn7NBu1okFzrFdrhzZs4,['movie tunes']
0YinUQ50QDB7ZxSCLyQ40k,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
0YklCNXJmtsiaFPCEjWXut,['talent show']
0YrtvWJMgSdVrk3SfNjTbx,"['alternative rock', 'chamber pop', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'seattle indie', 'washington indie']"
0Z8XVUAOBPM4x12wKnFHEQ,"['classic texas country', 'contemporary country', 'modern country pop', 'texas country']"
0ZAibQ1lZh5UbUaQybsn62,['hollywood']
0ZED1XzwlLHW4ZaG4lOT6m,['pop']
0ZrpamOxcZybMHGg1AYtHP,"['dance pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']"
0ZzYDST6Dib7iYd8hmcLcH,"['candy pop', 'girl group', 'norwegian pop']"
0a1gHP0HAqALbEyxaD5Ngn,"['contemporary country', 'country', 'country road']"
0aMqt2uGLuHj4eI8oXgVzN,['mexican pop']
0awl5piYwO0CDTHEkCjUhn,['afrobeats']
0b1sIQumIAsNbqAoIClSpy,"['k-pop', 'k-rap']"
0b2XeWDPeBiLeskT6RFqMb,"['g funk', 'popping', 'west coast rap']"
0bBz5bRBkExaej2HxtVfCw,['sad rap']
0bOlhT8OcoC1lCpN69NcFP,"['dance pop', 'post-teen pop']"
0bdJZl7TDeiymDYzMJnVh2,"['canadian hip hop', 'canadian trap']"
0bdfiayQAKewqEvaU6rXCv,"['dance pop', 'danish pop', 'electropop', 'pop dance']"
0bfX8pF8kuHNCs57Ms4jZb,"['atl hip hop', 'dirty south rap', 'futuristic swag', 'southern hip hop', 'trap']"
0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
0cGUm45nv7Z6M6qdXYQGTX,"['pop', 'r&b', 'rap']"
0cQbJU1aAzvbEmTuljWLlF,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']"
0ceH34CATvfgphxnLRWFkm,"['florida drill', 'florida rap']"
0dEvJpkqhrcn64d3oI8v79,"['canadian pop', 'canadian rock', 'pop rock', 'post-grunge']"
0dJ4EXAj8j47TP3U47T4Sj,[]
0dlOr0VIysztGWvU1dpjmP,"['dance pop', 'europop', 'lilith', 'new wave pop', 'pop rock']"
0dlwjJe4kg9TgOMN184bJF,"['country', 'country road']"
0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']"
