chart_week,list_position,track_id,score,chart_year,chart_month,track_name,duration_ms,release_date,album_type,explicit,artist_id,artist_name,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,distance_to_mean
2014-08-09,7,1DunhgeZSEgWiIYbHqXl0c,72,2014,8,Latch,255866,2013-06-03,album,False,2wY79sveU1sp5g7SokKOiI,Sam Smith,84.0,24407317.0,0.73,0.735,1.0,-5.451,1.0,0.0923,0.0176,0.000189,0.089,0.541,121.985,4.0,pop,4.0449135688240565
2024-02-03,7,7dJYggqjKo71KI9sLzqCs8,72,2024,2,Agora Hills,265360,2023-09-22,album,True,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,87.0,31537127.0,0.75,0.674,8.0,-6.128,0.0,0.097,0.228,8.91e-05,0.122,0.392,123.026,4.0,pop,4.287515531606599
2022-04-30,7,1TUuhV75FeOF6UObRsABo2,72,2022,4,Don't Think Jesus,226975,2022-04-15,single,False,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,91.0,10845945.0,0.578,0.431,2.0,-7.034,1.0,0.0269,0.469,0.0,0.137,0.21,116.979,3.0,country,4.4701326247935365
2024-01-13,7,5aIVCx5tnk0ntmdiinnYvw,72,2024,1,Water,200255,2023-07-28,single,False,3SozjO3Lat463tQICI9LcE,Tyla,77.0,1975207.0,0.673,0.722,3.0,-3.495,0.0,0.0755,0.0856,0.0,0.137,0.519,117.187,4.0,other,5.012459219345687
2001-04-07,7,6uhj7EIZZm3OwVr0gWfkQn,72,2001,4,Jaded,215823,2001-03-05,album,False,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,77.0,14676623.0,0.518,0.866,9.0,-4.476,1.0,0.0509,0.00413,1.93e-05,0.246,0.671,117.983,4.0,rock,5.686151625613331
2022-01-15,7,6zSpb8dQRaw0M1dK8PBwQz,72,2022,1,Cold Heart - PNAU Remix,202735,2021-08-13,single,False,3PhoLpVuITZKcymswpck5b,Elton John,84.0,13882699.0,0.796,0.798,1.0,-6.312,1.0,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,4.0,rock,5.819698368434441
2022-07-02,7,1vbn9fEyw1IYhqgZJdu9ZB,72,2022,7,Falling Back,266178,2022-06-17,album,False,3TVXtAsR1Inumwj472S9r4,Drake,96.0,92537455.0,0.718,0.758,10.0,-8.29,1.0,0.0703,0.238,0.00653,0.11,0.349,118.989,4.0,rap/hip-hop,5.889060254834974
2012-03-24,7,124NFj84ppZ5pAxTuVQYCQ,72,2012,3,Take Care,277386,2011-11-15,album,True,3TVXtAsR1Inumwj472S9r4,Drake,96.0,92537455.0,0.629,0.515,0.0,-10.358,0.0,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,4.0,rap/hip-hop,5.907455350840744
2008-02-09,7,6AdLyvisRKHLAwARaZMGr6,72,2008,2,Take You There,236693,2008-03-11,album,False,6S0dmVVn4udvppDhZIWxCr,Sean Kingston,72.0,3372031.0,0.752,0.921,5.0,-4.321,0.0,0.0696,0.0182,0.0,0.256,0.634,115.033,4.0,pop,6.13072948559659
2005-12-03,7,3850dYVgOFIXJh5U4BFEWH,72,2005,12,Hung Up,337733,2005-11-11,album,False,6tbjWDEIzxoDsBA1FuhfPW,Madonna,81.0,8125634.0,0.649,0.647,9.0,-7.695,0.0,0.0452,0.0039,0.161,0.0686,0.405,125.02,4.0,pop,6.346473073427045
